N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
137,하이트진로,"29,400","1,500",+5.38%,"5,000","20,619","70,134",4.16,"354,282",40.05,8.23,
138,영원무역,"46,500","2,500",+5.68%,500,"20,605","44,311",28.11,"181,737",8.94,8.03,
139,녹십자,"175,500","9,000",+5.41%,"5,000","20,510","11,687",23.00,"63,556",23.78,7.48,
140,현대로템,"18,600",750,+4.20%,"5,000","20,300","109,142",3.28,"782,344",64.81,2.84,
141,TIGER 200,"36,270",950,+2.69%,0,"20,202","55,700",0.83,"1,579,697",N/A,N/A,
142,씨에스윈드,"47,400","1,400",+3.04%,500,"19,989","42,171",11.69,"340,174",43.01,8.19,
143,KODEX 레버리지,"19,700",985,+5.26%,0,"19,858","100,800",0.01,"37,104,054",N/A,N/A,
144,KODEX MSCI Korea TR,"11,710",300,+2.63%,0,"19,825","169,300",3.37,"625,369",N/A,N/A,
145,농심,"323,000","8,000",+2.54%,"5,000","19,647","6,083",12.83,"38,936",18.41,7.50,
146,효성첨단소재,"423,000","1,000",+0.24%,"5,000","18,950","4,480",10.76,"78,403",8.83,0.03,
147,TIGER 미국나스닥100,"76,490","1,445",+1.93%,0,"18,266","23,880",0.00,"344,786",N/A,N/A,
148,한미반도체,"36,900","1,150",+3.22%,200,"18,251","49,460",6.10,"593,218",21.94,21.03,
149,현대위아,"67,100","2,400",+3.71%,"5,000","18,248","27,195",6.26,"246,729",50.00,1.96,
150,효성티앤씨,"416,000",500,+0.12%,"5,000","18,003","4,328",17.17,"56,920",2.55,25.10,
151,휠라홀딩스,"29,150","1,000",+3.55%,"1,000","17,709","60,752",43.58,"257,187",7.53,10.94,
152,후성,"19,100",750,-3.78%,500,"17,688","92,607",7.69,"3,792,685",64.31,2.79,
153,롯데정밀화학,"68,000","1,500",+2.26%,"5,000","17,544","25,800",22.04,"158,990",4.12,12.65,
154,효성,"81,400","2,300",+2.91%,"5,000","17,152","21,071",8.26,"76,662",4.43,-2.26,
155,한샘,"72,300","2,500",+3.58%,"1,000","17,015","23,534",16.32,"89,644",21.27,10.83,
156,코오롱인더,"61,200","1,100",+1.83%,"5,000","16,842","27,519",20.16,"154,572",9.50,9.70,
157,현대백화점,"71,500","3,200",+4.69%,"5,000","16,733","23,402",18.18,"123,851",10.82,1.65,
158,TIGER MSCI Korea TR,"14,720",430,+3.01%,0,"16,545","112,400",14.23,"19,062",N/A,N/A,
159,KODEX 단기채권,"103,160",5,0.00%,0,"16,142","15,648",0.00,"58,534",N/A,N/A,
160,LS,"49,950","1,400",+2.88%,"5,000","16,084","32,200",13.60,"94,184",6.28,3.94,
161,오뚜기,"437,500","7,500",+1.74%,"5,000","16,065","3,672",11.70,"2,743",14.52,7.93,
162,JB금융지주,"8,130",90,+1.12%,"5,000","16,015","196,983",42.21,"180,265",3.35,10.06,
163,두산,"96,600","4,000",+4.32%,"5,000","15,962","16,524",10.63,"42,064",-55.65,-34.34,
164,더존비즈온,"52,500",800,-1.50%,500,"15,951","30,383",39.72,"281,631",25.70,15.09,
165,DGB금융지주,"9,230",70,+0.76%,"5,000","15,612","169,146",49.38,"331,628",3.30,6.93,
166,동원시스템즈,"52,000","1,500",+2.97%,"5,000","15,178","29,188",13.16,"35,606",23.55,10.97,
167,대웅제약,"130,500","3,500",+2.76%,"2,500","15,120","11,587",6.01,"40,406",131.02,2.38,
168,대한전선,"1,760",0,0.00%,500,"15,074","856,473",1.92,0,45.13,0.92,
169,현대엘리베이,"36,150","1,400",+4.03%,"5,000","14,755","40,815",28.81,"178,432",23.29,9.78,
170,아이에스동서,"47,500","2,300",+5.09%,500,"14,674","30,893",4.19,"81,062",27.21,10.92,
171,LS ELECTRIC,"48,800","2,550",+5.51%,"5,000","14,640","30,000",17.59,"74,622",18.07,6.15,
172,한전KPS,"32,450",550,-1.67%,200,"14,602","45,000",7.53,"329,615",12.09,8.23,
173,KODEX 삼성그룹,"9,055",170,+1.91%,0,"14,533","160,500",0.21,"826,853",N/A,N/A,
174,KODEX 종합채권(AA-이상)액티브,"106,660",40,-0.04%,0,"14,390","13,491",0.00,"4,145",N/A,N/A,
175,일진하이솔루스,"39,500",450,+1.15%,500,"14,344","36,313",2.14,"208,217",73.69,34.27,
176,대웅,"24,450",600,+2.52%,500,"14,216","58,142",4.25,"113,961",13.46,15.10,
177,동국제강,"14,650",850,+6.16%,"5,000","13,981","95,433",22.30,"617,406",3.09,3.35,
178,TIGER 단기통안채,"100,560",5,0.00%,0,"13,650","13,574",0.89,"2,621,506",N/A,N/A,
179,롯데칠성,"147,000","13,500",+10.11%,500,"13,640","9,279",9.05,"66,309",17.37,-1.00,
180,케이카,"27,650",900,+3.36%,500,"13,296","48,087",18.26,"198,632",45.93,15.11,
181,아시아나항공,"17,550","1,000",+6.04%,"5,000","13,059","74,412",7.34,"466,884",-3.02,-43.83,
182,TIGER 미국S&P500,"13,200",235,+1.81%,0,"13,022","98,650",0.00,"1,947,360",N/A,N/A,
183,한일시멘트,"18,500",200,+1.09%,500,"12,813","69,262",2.66,"307,633",12.19,N/A,
184,NHN,"34,050",650,+1.95%,500,"12,775","37,518",19.46,"170,881",39.32,1.35,
185,LIG넥스원,"58,000",700,+1.22%,"5,000","12,760","22,000",6.65,"269,027",13.52,8.86,
186,에스엘,"26,300","1,350",+5.41%,500,"12,677","48,203",14.88,"108,621",8.72,4.74,
187,신풍제약,"23,900",800,+3.46%,500,"12,663","52,985",9.70,"575,754","3,983.33",1.72,
188,롯데리츠,"5,180",40,+0.78%,500,"12,586","242,969",9.58,"172,844",32.38,1.68,
189,명신산업,"23,950",250,+1.05%,500,"12,567","52,470",2.19,"616,385",-10.39,-67.39,
190,ESR켄달스퀘어리츠,"5,820",10,+0.17%,"1,000","12,402","213,089",31.89,"415,240",153.16,1.14,
191,한국앤컴퍼니,"12,950",600,+4.86%,500,"12,294","94,935",9.70,"121,131",4.97,5.08,
192,코리안리,"10,150",300,+3.05%,500,"12,217","120,369",31.50,"687,630",7.78,5.78,
193,TIGER 미국테크TOP10 INDXX,"11,660",335,+2.96%,0,"12,191","104,550",0.30,"1,602,020",N/A,N/A,
194,TIGER 2차전지테마,"18,800",70,-0.37%,0,"12,051","64,100",0.15,"2,993,359",N/A,N/A,
195,코스모신소재,"39,750","1,400",-3.40%,"1,000","11,960","30,087",5.88,"1,141,063",50.96,7.16,
196,PI첨단소재,"40,700",550,+1.37%,500,"11,952","29,366",13.13,"201,910",20.43,15.62,
197,금호타이어,"4,105",145,+3.66%,"5,000","11,792","287,260",3.95,"413,528",-16.42,-6.74,
198,티와이홀딩스,"23,150",650,+2.89%,500,"11,790","50,929",5.09,"60,820",1.99,N/A,
199,DL,"55,900","1,700",+3.14%,"5,000","11,714","20,956",11.81,"95,600",1.78,11.84,
200,현대두산인프라코어,"5,870",70,+1.21%,"1,000","11,589","197,435",9.82,"1,203,387",5.02,6.47,
