,index,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count
1492,1492,3.47,233.0,97.0,95.0,53.0,115.0
1493,1493,3.62,884.0,343.0,331.0,184.0,327.0
1494,1494,3.67,5.0,1.0,0.0,1.0,2.0
1495,1495,3.0,0.0,2.0,1.0,0.0,1.0
1496,1496,3.88,1122.0,520.0,386.0,173.0,226.0
1497,1497,4.48,4130.0,994.0,409.0,148.0,201.0
1498,1498,4.02,545.0,200.0,161.0,59.0,81.0
1499,1499,3.61,234.0,125.0,121.0,47.0,86.0
1500,1500,3.84,449.0,140.0,135.0,77.0,102.0
1501,1501,3.52,46.0,20.0,20.0,13.0,19.0
1502,1502,4.17,1800.0,575.0,364.0,143.0,208.0
1503,1503,3.94,963.0,334.0,250.0,119.0,197.0
1504,1504,3.92,1116.0,357.0,300.0,142.0,236.0
1505,1505,4.2,7.0,4.0,4.0,0.0,0.0
1506,1506,3.5,158.0,75.0,79.0,46.0,67.0
1507,1507,4.64,293.0,52.0,19.0,6.0,7.0
1508,1508,4.15,2940.0,1130.0,712.0,295.0,274.0
1509,1509,4.07,4166.0,1546.0,1044.0,438.0,559.0
1510,1510,4.05,93.0,32.0,18.0,5.0,19.0
1511,1511,4.17,1312.0,611.0,337.0,88.0,129.0
1512,1512,4.04,12.0,7.0,2.0,0.0,3.0
1513,1513,3.22,5.0,0.0,0.0,0.0,4.0
1514,1514,3.96,337.0,124.0,98.0,38.0,64.0
1515,1515,4.11,173.0,46.0,18.0,15.0,31.0
1516,1516,4.34,2458.0,726.0,355.0,134.0,172.0
1517,1517,3.5,3.0,0.0,1.0,1.0,1.0
1518,1518,3.67,87.0,36.0,49.0,17.0,25.0
1519,1519,3.99,117.0,42.0,23.0,15.0,22.0
1520,1520,2.44,1.0,2.0,0.0,3.0,3.0
1521,1521,3.84,72.0,30.0,23.0,10.0,18.0
1522,1522,3.73,12.0,4.0,3.0,5.0,2.0
1523,1523,3.5,204.0,110.0,99.0,49.0,96.0
1524,1524,3.32,30.0,12.0,5.0,6.0,21.0
1525,1525,3.71,309.0,86.0,60.0,55.0,105.0
1526,1526,3.52,46.0,20.0,20.0,13.0,19.0
1527,1527,3.19,17.0,8.0,9.0,4.0,14.0
1528,1528,4.67,2.0,1.0,0.0,0.0,0.0
1529,1529,4.34,55.0,29.0,14.0,2.0,1.0
1530,1530,3.7,211.0,107.0,89.0,39.0,65.0
1531,1531,4.25,7.0,2.0,2.0,1.0,0.0
1532,1532,5.0,,,,,
1533,1533,3.74,1311.0,663.0,461.0,291.0,353.0
1534,1534,4.14,3125.0,1205.0,838.0,305.0,286.0
1535,1535,3.61,2107.0,1226.0,1189.0,553.0,681.0
1536,1536,2.9,16.0,8.0,13.0,4.0,21.0
1537,1537,3.96,360.0,100.0,91.0,47.0,68.0
1538,1538,3.72,204.0,100.0,84.0,44.0,57.0
1539,1539,3.94,418.0,166.0,119.0,63.0,75.0
1540,1540,3.91,100.0,41.0,34.0,17.0,17.0
1541,1541,3.7,18.0,7.0,13.0,5.0,3.0
1542,1542,3.97,102.0,35.0,35.0,11.0,17.0
1543,1543,4.2,66.0,13.0,18.0,3.0,7.0
1544,1544,3.83,3.0,1.0,1.0,0.0,1.0
1545,1545,4.28,698.0,205.0,108.0,47.0,62.0
1546,1546,3.4,24.0,11.0,7.0,6.0,14.0
1547,1547,3.4,6.0,5.0,4.0,1.0,4.0
1548,1548,4.11,1324.0,488.0,294.0,122.0,176.0
1549,1549,3.99,161.0,71.0,51.0,17.0,26.0
1550,1550,3.2,334.0,211.0,233.0,131.0,257.0
1551,1551,3.67,7.0,3.0,5.0,1.0,2.0
1552,1552,3.2,360.0,190.0,231.0,137.0,267.0
1553,1553,3.4,2.0,0.0,2.0,0.0,1.0
1554,1554,3.68,301.0,173.0,148.0,72.0,87.0
1555,1555,4.0,4.0,2.0,1.0,0.0,1.0
1556,1556,3.98,64.0,21.0,28.0,9.0,7.0
1557,1557,3.55,2635.0,1394.0,1315.0,715.0,1029.0
1558,1558,4.12,1573.0,606.0,399.0,135.0,188.0
1559,1559,4.05,43.0,18.0,11.0,2.0,8.0
1560,1560,3.5,258.0,176.0,147.0,81.0,112.0
1561,1561,3.68,28.0,11.0,7.0,7.0,9.0
1562,1562,3.77,22.0,7.0,8.0,5.0,5.0
1563,1563,3.51,26.0,15.0,15.0,7.0,11.0
1564,1564,3.38,156.0,58.0,72.0,45.0,83.0
1565,1565,3.79,25.0,10.0,13.0,3.0,6.0
1566,1566,3.54,7.0,11.0,4.0,2.0,4.0
1567,1567,4.25,1919.0,580.0,304.0,128.0,196.0
1568,1568,4.08,722.0,293.0,185.0,77.0,90.0
1569,1569,3.07,11.0,3.0,1.0,3.0,10.0
1570,1570,3.71,24.0,15.0,8.0,3.0,9.0
1571,1571,2.5,0.0,1.0,0.0,0.0,1.0
1572,1572,4.07,8.0,3.0,1.0,0.0,2.0
