,index,units_sold,매출
1358,1358,5000,40000.0
1359,1359,5000,40000.0
1360,1360,10000,110000.0
1361,1361,50,550.0
1362,1362,1000,17000.0
1363,1363,10,70.0
1364,1364,1000,2800.0
1365,1365,50,400.0
1366,1366,100,589.0
1367,1367,1000,8000.0
1368,1368,100,100.0
1369,1369,100,800.0
1370,1370,10000,160000.0
1371,1371,1000,1660.0
1372,1372,100,600.0
1373,1373,100,271.0
1374,1374,10000,80000.0
1375,1375,5000,80000.0
1376,1376,1000,5000.0
1377,1377,5000,55000.0
1378,1378,1000,6000.0
1379,1379,1000,4880.0
1380,1380,20000,320000.0
1381,1381,1000,11000.0
1382,1382,1000,6000.0
1383,1383,1000,5000.0
1384,1384,10000,60000.0
1385,1385,1000,6000.0
1386,1386,10000,140000.0
1387,1387,10,60.0
1388,1388,100,900.0
1389,1389,5000,25000.0
1390,1390,20000,140000.0
1391,1391,100,900.0
1392,1392,1000,15000.0
1393,1393,1000,7000.0
1394,1394,1000,13000.0
1395,1395,100,700.0
1396,1396,5000,20000.0
1397,1397,1000,8000.0
1398,1398,1000,14000.0
1399,1399,1000,8000.0
1400,1400,5000,20000.0
1401,1401,100,168.0
1402,1402,10000,110000.0
1403,1403,100,600.0
1404,1404,100,585.0
1405,1405,1000,5690.0
1406,1406,20000,114200.0
1407,1407,1000,9000.0
1408,1408,5000,60000.0
1409,1409,20000,100000.0
1410,1410,100,900.0
1411,1411,100,800.0
1412,1412,5000,45000.0
1413,1413,1000,7000.0
1414,1414,100,700.0
1415,1415,1000,15000.0
1416,1416,10000,80000.0
1417,1417,10,80.0
1418,1418,10000,160000.0
1419,1419,5000,40000.0
1420,1420,5000,45000.0
1421,1421,5000,40000.0
1422,1422,5000,45000.0
1423,1423,5000,55000.0
1424,1424,20000,73000.0
1425,1425,100,467.0
1426,1426,1000,11000.0
1427,1427,1000,8000.0
1428,1428,1000,8000.0
1429,1429,5000,40000.0
1430,1430,100,1200.0
1431,1431,20000,160000.0
1432,1432,1000,6000.0
1433,1433,50,400.0
1434,1434,100,269.0
1435,1435,100,167.0
1436,1436,100,800.0
1437,1437,100,600.0
1438,1438,5000,40000.0
1439,1439,5000,45000.0
1440,1440,5000,15000.0
1441,1441,100,300.0
1442,1442,100,271.0
1443,1443,50,50.0
1444,1444,100,1100.0
1445,1445,50,300.0
1446,1446,100,1600.0
1447,1447,5000,25000.0
1448,1448,100,1100.0
1449,1449,1000,2720.0
1450,1450,1000,7000.0
1451,1451,1000,3810.0
1452,1452,100,1100.0
1453,1453,100,600.0
1454,1454,100,900.0
1455,1455,100,500.0
1456,1456,10000,80000.0
1457,1457,100,800.0
1458,1458,100,1300.0
1459,1459,100,1100.0
1460,1460,5000,75000.0
1461,1461,100,1100.0
1462,1462,100,281.0
1463,1463,5000,30000.0
1464,1464,1000,5660.0
1465,1465,10000,60000.0
1466,1466,50000,400000.0
1467,1467,10000,70000.0
1468,1468,100,1400.0
1469,1469,100,184.0
1470,1470,1000,8000.0
1471,1471,10000,90000.0
1472,1472,100,700.0
1473,1473,100,500.0
1474,1474,1000,3720.0
1475,1475,5000,19050.0
1476,1476,1000,4930.0
1477,1477,10000,110000.0
1478,1478,1000,6000.0
1479,1479,50,350.0
1480,1480,5000,80000.0
1481,1481,8,64.0
1482,1482,1000,9000.0
1483,1483,100,800.0
1484,1484,10000,80000.0
1485,1485,100,500.0
1486,1486,5000,25000.0
1487,1487,1000,14000.0
1488,1488,1,14.0
1489,1489,100,280.0
1490,1490,10000,80000.0
1491,1491,10,110.0
1492,1492,5000,45000.0
1493,1493,10000,80000.0
1494,1494,100,1600.0
1495,1495,100,600.0
1496,1496,10000,70000.0
1497,1497,20000,73200.0
1498,1498,5000,35000.0
1499,1499,1000,6000.0
1500,1500,10000,48100.00000000001
1501,1501,1000,8000.0
1502,1502,20000,160000.0
1503,1503,5000,70000.0
1504,1504,10000,46700.0
1505,1505,1000,1800.0
1506,1506,5000,29500.0
1507,1507,1000,5000.0
1508,1508,20000,240000.0
1509,1509,20000,100000.0
1510,1510,1000,14000.0
1511,1511,20000,240000.0
1512,1512,100,584.0
1513,1513,100,1300.0
1514,1514,10000,60000.0
1515,1515,5000,45000.0
1516,1516,20000,300000.0
1517,1517,100,800.0
1518,1518,1000,7000.0
1519,1519,5000,40000.0
1520,1520,100,200.0
1521,1521,1000,8000.0
1522,1522,100,1100.0
1523,1523,1000,8000.0
1524,1524,1000,2690.0
1525,1525,5000,30000.0
1526,1526,1000,8000.0
1527,1527,100,583.0
1528,1528,100,1100.0
1529,1529,1000,11000.0
1530,1530,1000,14000.0
1531,1531,50,1350.0
1532,1532,10,40.0
1533,1533,10000,160000.0
1534,1534,20000,220000.0
1535,1535,20000,160000.0
1536,1536,100,577.0
1537,1537,10000,110000.0
1538,1538,1000,9000.0
1539,1539,1000,12000.0
1540,1540,1000,5870.0
1541,1541,100,700.0
1542,1542,1000,8000.0
1543,1543,1000,7000.0
1544,1544,100,800.0
1545,1545,5000,45000.0
1546,1546,1000,8000.0
1547,1547,100,271.0
1548,1548,10000,120000.0
1549,1549,1000,13000.0
1550,1550,5000,15000.0
1551,1551,100,700.0
1552,1552,5000,25000.0
1553,1553,100,600.0
1554,1554,5000,60000.0
1555,1555,50,400.0
1556,1556,1000,7000.0
1557,1557,20000,180000.0
1558,1558,10000,130000.0
1559,1559,100,1600.0
1560,1560,5000,35000.0
1561,1561,1000,3870.0
1562,1562,100,493.0
1563,1563,100,1500.0
1564,1564,1000,5910.0
1565,1565,100,300.0
1566,1566,100,1100.0
1567,1567,20000,160000.0
1568,1568,10000,60000.0
1569,1569,100,200.0
1570,1570,100,500.0
1571,1571,100,1300.0
1572,1572,100,700.0
